FeatureID	Kingdom   Phylum  Class   Order   Family  Genus   Species
0219dd79ca9f94af189a88e83cb6acc6	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Aquimarina   unassigned
0220d8cbfbc8f63b6fd357b3bbeeb3bb	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Tannerellaceae	D_5__Macellibacteroides	D_6__uncultured
022611b1a061b05d39a9e6b069339cec	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria    unassigned      unassigned      unassigned      unassigned
02296283bdf6ec3d03a3b8079d463549	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
022a8e60a631b03505c2af76bd5a143c	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
023182952f753ea70df8282643eba1c1	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Pir4   unassigned
0234bb9b814783cbcfa9f83aa42ada2f	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae    unassigned      unassigned
02356482c1341021389bfa85897fd82d	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Steroidobacterales	D_4__Woeseiaceae	D_5__Woeseia	D_6__uncultured
0235c48cf2e0d736717472e865b4dfb0	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria    unassigned      unassigned      unassigned      unassigned
023733757a3ed290f0717c0c8f61fada	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia    unassigned      unassigned      unassigned      unassigned
023d96fda931cbd5afe8e9645c1d6d9d	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Ptilocladiopsis    unassigned      unassigned
023f599c66eb55498c163d92ac1a59ef	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__museum   unassigned
024254cf1a46fe5215d17e686c319408	D_0__Bacteria	D_1__Tenericutes	D_2__Mollicutes	D_3__Mycoplasmatales	D_4__Mycoplasmataceae    unassigned      unassigned
024732017b6d9ba79ea37bba9efbf28b	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Paracaedibacterales	D_4__Paracaedibacteraceae	D_5__Candidatus   unassigned
024c0cb564733e64d3617e5ea27a53e5	D_0__Bacteria	D_1__Verrucomicrobia	D_2__Verrucomicrobiae	D_3__Verrucomicrobiales	D_4__Rubritaleaceae	D_5__Rubritalea	D_6__uncultured
024dfaf6cf8e9ca9067edf720578dcb4	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__Simkaniaceae	D_5__uncultured	D_6__Chlamydiales
0255a53d4dd322c2370b85b1b3dae5df	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiohalorhabdales	D_4__Thiohalorhabdaceae	D_5__uncultured	D_6__bacterium
0259ed11737bda2dafbfb1afa2ded4c9	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__Criblamydiaceae	D_5__uncultured   unassigned
